division;clase;subclase;orden;familia;aceptado;genero;especie;Variedad;Subespecie;autor;nombre;Dir;;clasificacion;basionimo;endemica;zona_vdw;paises_andinotropicales;distribucion_mundial;ecorregion;ecosistema;habito;sustrato;Lista Roja mundial;CategoriaIUCN;CriterioIUCN;AutorCriterio;Revision;Revisor;FechaRevision;Comentarios
Bryophyta;Bryopsida;Dicranidae;Dicranales;Dicranaceae;1;Chorisodontium;mittenii;;;(MÅll. Hal.) Broth.;Chorisodontium mittenii;Chorisodontium_mittenii;;6;;0;;Bolivia, Colombia, Ecuador, Per£ y Venezuela (Tropicos.org);Bolivia, Colombia, Ecuador, Per£ y Venezuela;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Dicranaceae;1;Chorisodontium;speciosum;;;(Hook. f. & Wilson) Broth.;Chorisodontium speciosum;Chorisodontium_speciosum;;6;;0;;Colombia y Ecuador;Colombia,  Ecuador y Costa Rica;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Dicranaceae;0;Chorisodontium;wallisii;;;(MÅll. Hal.) Broth.;Chorisodontium wallisii;Chorisodontium_wallisii;;6;;0;;Colombia, Ecuador y Venezuela (Tropicos.org);Colombia, Ecuador y Venezuela;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Dicranaceae;0;Chorisodontium;wallisii;var. speciosum;;(Hook. & Wilson) Broth.;Chorisodontium wallisii var. speciosum;Chorisodontium_wallisii_speciosum;;8;;0;Am 2, Am 4.;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Dicranaceae;0;Chorisodontium;wallisii;var. wallisii;;;Chorisodontium wallisii var. wallisii;Chorisodontium_wallisii_wallisii;;8;;0;Am 4.;Venezuela, Colombia, Ecuador y Per£;;;;;;;;;;;;;
Bryophyta;Bryopsida;Dicranidae;Dicranales;Ditrichaceae;1;Chrysoblastella;chilensis;;;(Mont.) Reimers;Chrysoblastella chilensis;Chrysoblastella_chilensis;Chrysoblastella_chilensis;6;;0;;Bolivia, Colombia, Ecuador y Per£ (Tropicos.org);Australia,  Brasil,  Nueva Zelanda,  Bolivia,  Chile,  Colombia,  Ecuador,  MÇxico y Per£;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Hypnaceae;1;Chryso-hypnum;diminutivum;;;(Hampe) W. R. Buck;Chryso-hypnum diminutivum;Chryso-hypnum_diminutivum;;6;;0;Am 1, Am 2, Am 3, Am 4, Am 5;;;;;Ep°fito;;;;;;;;;En Pittier 1936 como Microthamnium diminutivum (Hampe) A. Jaeger y como Microthamnium thelistegum (MÅll. Hal.) Mitt.
Bryophyta;Bryopsida;Bryidae;Hypnales;Hypnaceae;1;Chryso-hypnum;elegantulum;;;(Hook.) Hampe;Chryso-hypnum elegantulum;Chryso-hypnum_elegantulum;;6;;0;Am 2, Am 4, Am 5.;;Bolivia,  Brasil. Colombia,  Paraguay;;;;;;;;;;;;En Pittier 1936 como Microthamnium elegantulum (Hook.) Mitt.
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Clastobryum;pungens;;;(MÅll. Hal.) Tixier;Clastobryum pungens;Clastobryum_pungens;;6;;0;;;;;;;;;;;;;;;En Pittier 1936 como Schraderella pungens MÅll. Hal.
Bryophyta;Bryopsida;Bryidae;Orthotrichales;Orthotrichaceae;1;Codonoblepharon;pungens;;;(MÅll. Hal.) A. Jaeger;Codonoblepharon pungens;Codonoblepharon_pungens;;6;;0;;;;;;;;;;;;;;;
