Campylopus fulvus ;(Hook.) Kindb. ;Campylopus anderssonii (Müll. Hal.) A. Jaeger;Campylopus anderssonii;;
Campylopus hoffmannii ;(Müll. Hal.) Renauld & Cardot;Campylopus cuspidatus (Hornsch.) Mitt.;Campylopus cuspidatus;;
Campylopus lamprodictyon ;(Hampe) Mitt. ;Campylopus pauper var. lamprodictyum ;Campylopus pauper var. lamprodictyum;;
Campylopus leucognodes; (C. Muell) Par;Campylopus argyrocaulon (Müll. Hal.) Broth.;Campylopus argyrocaulon;;
Campylopus leucogaster ;(Müll. Hal.) Mitt.;Microcampylopus leucogaster (Müll. Hal.) B.H. Allen;Microcampylopus leucogaster;;
Campylopus porphyreocaulis ;(Müll. Hal.) Paris ;Campylopus heterostachys (Hampe) A. Jaeger;Campylopus heterostachys;;
Campylopus praealtus ;(Müll. Hal.) Paris ;Campylopus subcuspidatus (Hampe) A. Jaeger;Campylopus subcuspidatus;;
Campylopus sprucei ;Mitt.;Campylopus savannarum (Müll. Hal.) Mitt.;Campylopus savannarum;;
Campylopus trichophorus ;Hampe ex Herzog ;Campylopus asperifolius Mitt.;Campylopus asperifolius;;
Campylopus tunariensis ;Herzog ;Campylopus fragilis (Bridel) Bruch & Schimpes;Campylopus fragilis;;
Campylopodium fendleri; (Müll. Hal.) Paris ;Microcampylopus leucogaster (Müll. Hal.) B.H. Allen;Microcampylopus leucogaster;;
Dicranella campylophylla ;(Taylor) A. Jaeger ;Anisothecium campylophyllum (Taylor) Mitt.;Anisothecium campylophyllum;;
Dicranella herminieri ;Besch. ;Dicranella hilariana (Mont.) Mitt.;Dicranella hilariana;;
Dicranella hookeri ;(Müll. Hal.) Cardot ;Anisothecium hookeri (Müll. Hal.) Broth.;Anisothecium hookeri;;
Dicranella vaginata ;(Hook.) Cardot ;Anisothecium vaginatum (Hook.) Mitt.;Anisothecium vaginatum;;
Dicranodontium meridionale ;Bartram ;Dicranodontium pulchroalare Broth.;Dicranodontium pulchroalare;;
Dicranum zygodonticarpum ;Müll. Hal. ;Campylopus zygodonticarpus (Mull) Paris;Campylopus zygodonticarpus;;
Leucoloma asperrimum; (Müll. Hal.) Kindb.;Leucoloma cruegerianum (Mull) Jaeg.;Leucoloma cruegerianum;;
Leucoloma mollissimum ;Mitt.;Leucoloma serrulatum Brid.;Leucoloma serrulatum;;
Microcampylopus curvisetus ;(Hamp) Giese & J-P Frahm;Microcampylopus leucogaster (Müll. Hal.) B.H. Allen;Microcampylopus leucogaster;;
Microdus barbensis; (Renauld & Cardot) Broth. ;Dicranella barbensis Renauld & Cardot;Dicranella barbensis;;
Microdus brasiliensis; (Duby) Thér ;Dicranella pomiformis (Griff.) A. Jaeger;Dicranella pomiformis;;
Microdus densus ;(Hook.) Besch. ;Dicranella densa (Hook.) Mitt.;Dicranella densa;;
Microdus globicarpus; (Müll. Hal.) Paris ;Dicranella globicarpa (Müll. Hal.) Broth.;Dicranella globicarpa;;
Microdus lindigianus ;(Hampe.) Besch;Dicranella lindigiana (Hampe) Mitt.;Dicranella lindigiana;;
Metzleria longiseta ;(Hook.) Broth. ;Atractylocarpus longisetus (Hook.) E. B. Bartram;Atractylocarpus longisetus;;
Metzlerella longiseta ;(Hook.) Broth.;Atractylocarpus longisetus (Hook.) E. B. Bartram;Atractylocarpus longisetus;;
Mniobryum wahlenbergii ;(Web. & Mohr.) Jenn.;Pohlia wahlenbergii (F. Weber & D. Mohr) A.L. Andrews;Pohlia wahlenbergii;;
Cheilothela vaginata ;Robins. ;Dicranella cardotii (R. Br. bis) Dixon;Dicranella cardotii;;
Didymodon paramicola; (H. Rob.) O. Werner, J.A. Jimenez & Ros;Kingiobryum paramicola H. Rob. ;Kingiobryum paramicola;;
Ditrichum cylindricum ;(Hedw.) Grout ;Trichodon cylindricus (Hedw.) Schimp.;Trichodon cylindricus;;
Ditrichum rufescens ;(Hampe) Hampe ;Ditrichum difficile (Duby) M. Fleisch;Ditrichum difficile;;
Ditrichum venezuelanum ;Griffin;Ditrichum bogotense (Hampe) Broth.;Ditrichum bogotense;;
Micromitrium maracaibense ;Broth.;Groutiella maracaibensis (Broth.) B.H. Allen & Goffinet;Groutiella maracaibensis;;
Erpodium biseriatum ;(Austin) Austin  ;Solmsiella biseriata (Austin) Steere;Solmsiella biseriata;;
!Macromitrium hymenostomum ;Mont.;Macrocoma sullivantii (Müll. Hal.) Grout;Macrocoma sullivantii;;
Campylodontium onustum; (Hampe) Jaeg.;Mesonodon flavescens (Hook.) W.R. Buck;Mesonodon flavescens;;
Mesonodon onustus ;Hampe;Mesonodon flavescens (Hook.) W.R. Buck;Mesonodon flavescens;;
Bryosedgwickia pallidissima ;(C.Müll.) Biz. Ex P. Varde;Platygyriella densa (Hook.) W. R: Buck;Platygyriella densa;;
Entodon aurescens ;Hampe;Entodon jamesonii (Taylor) Mitt.;Entodon jamesonii;;
Rozea bourgaeana ;Besh.;Rozea andrieuxii (Müll. Hal.) Besch.;Rozea andrieuxii;;
Rozea chrysea ;Besch. ;Rozea andrieuxii (Müll. Hal.) Besch.;Rozea andrieuxii;;
Campylodontium onustum; (Hampe) A. Jaeger;Mesonodon flavescens (Hook.) W.R. Buck;Mesonodon flavescens;;
Fissidens caripensis; (Hampe & Müll. Hal.) Paris ;Fissidens zollingeri Mont.;Fissidens zollingeri;;
Fissidens diplodus ;Mitt.;Fissidens lagenarius var. muriculatus (Spruce ex Mitt.) Pursell;Fissidens lagenarius var. muriculatus;;
Fissidens mollis ;Mitt.;Fissidens flaccidus Mitt.;Fissidens flaccidus;;
Fissidens papillosulus ;Sande Lac. ;Fissidens elegans Brid.;Fissidens elegans;;
Fissidens validicostatus ;Sull. ex Müll. Hal.;Fissidens subulatus Mitt.;Fissidens subulatus;;
Fissidens repandus ;Wils.;Fissidens crispus Mont.;Fissidens crispus;;
Fissidens trachelyma; (Sull.) Broth. ;Fissidens serratus Müll. Hal.;Fissidens serratus;;
Fissidens semimarginatus ;C. Müll.;Fissidens submarginatus Bruch;Fissidens submarginatus;;
Fissidens reticulosus ;(Müll. Hal.) Mitt. ;Fissidens palmatus Hedw;Fissidens palmatus;;
Fissidens moritzianus ;C. Müll;Fissidens submarginatus Bruch;Fissidens submarginatus;;
Fissidens minutus ;Thwaites & Mitt. ;Fissidens pallidinervis Mitt.;Fissidens pallidinervis;;
Fissidens kegelianus ;Müll. Hal. ;Fissidens zollingeri Mont.;Fissidens zollingeri;;
Fissidens fendleri; C. Müll;Fissidens crispus Mont.;Fissidens crispus;;
Fissidens intermedius ;Müll. Hal. ;Fissidens submarginatus Bruch;Fissidens submarginatus;;
Fissidens goebelii ;C. Müll;Fissidens anguste-limbatus Mitt.;Fissidens anguste-limbatus;;
Fissidens pellucidus var. pellucidus;;Fissidens pellucidus Hornsch;Fissidens pellucidus;;
Fissidens pennula ;Broth.;Fissidens anguste-limbatus Mitt.;Fissidens anguste-limbatus;;
Fissidens vardei ;Thér;Fissidens serratus Müll. Hal.;Fissidens serratus;;
Fissidens ceracruzensis ;Pursell ;Fissidens goyazensis Broth.;Fissidens goyazensis;;
Funaria acutifolia; (Hampe) Broth.;Entosthodon obtusifolius Hook.f.;Entosthodon obtusifolius;;
Funaria calvescens ;Schwägr. ;Funaria hygrometrica Hedw;Funaria hygrometrica;;
Grimmia ovata ;F. Weber & D. Mohr;Grimmia ovalis (Hedw.) Lindb.;Grimmia ovalis;;
Hookeria bipinnata var. caracasana ;Hampe;Pilotrichum longicaule Broth.;Pilotrichum longicaule;;
Hookeria leptorrhyncha ;Hook. & Grev.;Hypnella leptorrhyncha (Hook. & Grev.) A. Jaeger;Hypnella leptorrhyncha;;
Hookeriopsis acicularis ;(Mitt.) A. Jaeger;Thamniopsis undata (Hedw.) W. R. Buck;Thamniopsis undata;;
